ENSG00000019169	DAP2_0341
ENSG00000019186	DAP4_2863
ENSG00000019549	DAP1_5943
ENSG00000019582	DAP4_1020
ENSG00000019991	DAP3_5244
ENSG00000020426	DAP4_2022
ENSG00000020633	DAP3_5510
ENSG00000020922	DAP2_3878
ENSG00000021355	DAP1_3011
ENSG00000021645	DAP3_0186
ENSG00000021826	DAP1_2149
ENSG00000021852	DAP4_1895
ENSG00000022267	DAP1_2205
ENSG00000022355	DAP4_2807
ENSG00000022840	DAP4_0265
ENSG00000023191	DAP2_4297
ENSG00000023228	DAP3_0976
ENSG00000023287	DAP2_3606
ENSG00000023330	DAP4_3697
ENSG00000023445	DAP1_2424
ENSG00000023608	DAP1_5257
ENSG00000023734	DAP3_5688
ENSG00000023909	DAP1_3901
ENSG00000025156	DAP2_3534
ENSG00000025423	DAP1_2003
ENSG00000025434	DAP1_1599
ENSG00000025708	DAP1_3156
ENSG00000025770	DAP2_5257
ENSG00000025772	DAP1_4099
ENSG00000026103	DAP2_6012
ENSG00000026508	DAP1_2787
ENSG00000026950	DAP2_0731
ENSG00000027001	DAP2_3481
ENSG00000027075	DAP2_5679
ENSG00000027697	DAP1_4292
ENSG00000027869	DAP3_0377
ENSG00000028116	DAP3_0542
ENSG00000028137	DAP1_1272
ENSG00000028277	DAP1_3805
ENSG00000028528	DAP4_0040
ENSG00000029153	DAP2_2421
ENSG00000029363	DAP3_1334
ENSG00000029534	DAP1_1320
ENSG00000029559	DAP2_1628
ENSG00000029725	DAP2_1826
ENSG00000029993	DAP2_3881
ENSG00000030110	DAP2_5546
ENSG00000030582	DAP2_1227
ENSG00000031698	DAP3_4115
ENSG00000031823	DAP2_5625
ENSG00000032219	DAP2_0747
ENSG00000032742	DAP1_3393
ENSG00000033170	DAP4_1651
ENSG00000033327	DAP4_5184
ENSG00000033627	DAP1_3888
ENSG00000033800	DAP2_0585
ENSG00000033867	DAP3_4038
ENSG00000034053	DAP2_4064
ENSG00000034152	DAP2_5846
ENSG00000034510	DAP2_0606
ENSG00000034971	DAP2_1884
ENSG00000035115	DAP4_1577
ENSG00000035403	DAP1_2436
ENSG00000035681	DAP2_4317
ENSG00000035720	DAP2_2369
ENSG00000035862	DAP2_1255
ENSG00000035928	DAP3_2409
ENSG00000036448	DAP2_0209
ENSG00000036473	DAP2_0764
ENSG00000036565	DAP4_3896
ENSG00000037749	DAP1_4947
ENSG00000037897	DAP2_2265
ENSG00000038002	DAP2_3931
ENSG00000038358	DAP2_5688
ENSG00000038382	DAP1_5926
ENSG00000038427	DAP3_0620
ENSG00000038945	DAP4_5384
ENSG00000039068	DAP4_2198
ENSG00000039139	DAP3_5678
ENSG00000039319	DAP4_2822
ENSG00000039537	DAP1_3937
ENSG00000039560	DAP1_2748
ENSG00000040341	DAP1_1987
ENSG00000040933	DAP1_0799
ENSG00000041353	DAP2_2705
ENSG00000041357	DAP4_2254
ENSG00000041515	DAP1_3501
ENSG00000041982	DAP4_1688
ENSG00000042493	DAP2_5880
ENSG00000042753	DAP2_4969
ENSG00000042832	DAP4_2094
ENSG00000043143	DAP3_3736
ENSG00000043355	DAP3_5534
ENSG00000043462	DAP3_3722
ENSG00000044012	DAP1_3031
ENSG00000044090	DAP1_0974
ENSG00000044115	DAP3_4957
ENSG00000044524	DAP4_3077
ENSG00000044574	DAP3_5504
ENSG00000046604	DAP1_0234
ENSG00000046653	DAP4_4214
ENSG00000047315	DAP3_5960
ENSG00000047410	DAP2_4985
ENSG00000047457	DAP1_2994
ENSG00000047597	DAP2_0926
ENSG00000047936	DAP1_1647
ENSG00000048052	DAP3_3881
ENSG00000048162	DAP2_4026
ENSG00000048462	DAP3_0651
ENSG00000048540	DAP1_0805
ENSG00000048545	DAP3_1151
ENSG00000048740	DAP3_5934
ENSG00000048828	DAP3_2236
ENSG00000048991	DAP4_0230
ENSG00000049089	DAP2_0361
ENSG00000049167	DAP4_5237
ENSG00000049245	DAP3_1222
ENSG00000049249	DAP1_2216
ENSG00000049319	DAP3_3347
ENSG00000049323	DAP2_3625
ENSG00000049449	DAP4_0205
ENSG00000049540	DAP3_5625
ENSG00000049541	DAP4_0010
ENSG00000049860	DAP4_5475
ENSG00000050165	DAP2_3346
ENSG00000050327	DAP1_1078
ENSG00000050344	DAP1_6110
ENSG00000050628	DAP2_2939
ENSG00000050748	DAP3_1377
ENSG00000051108	DAP1_1335
ENSG00000051128	DAP4_3500
ENSG00000051180	DAP3_2753
ENSG00000051523	DAP3_4939
ENSG00000051620	DAP4_4283
ENSG00000051825	DAP1_0270
ENSG00000052344	DAP2_5061
ENSG00000052723	DAP3_3299
ENSG00000052749	DAP2_3926
ENSG00000052802	DAP2_2050
ENSG00000053254	DAP2_3987
ENSG00000053371	DAP3_3569
ENSG00000053438	DAP4_3150
ENSG00000053747	DAP3_3498
ENSG00000053918	DAP3_4018
ENSG00000054356	DAP2_2402
ENSG00000054598	DAP4_2932
ENSG00000054611	DAP4_1590
ENSG00000054654	DAP4_2398
ENSG00000054793	DAP2_0182
ENSG00000054983	DAP2_2810
ENSG00000055118	DAP1_3510
ENSG00000055130	DAP4_5537
ENSG00000055163	DAP1_3482
ENSG00000055332	DAP4_1256
ENSG00000055955	DAP4_3089
ENSG00000055957	DAP1_1173
ENSG00000056097	DAP2_2039
ENSG00000056345	DAP1_1102
ENSG00000056558	DAP2_6035
ENSG00000056661	DAP1_5725
ENSG00000056998	DAP3_3348
ENSG00000057149	DAP1_1711
ENSG00000057294	DAP1_3941
ENSG00000057593	DAP2_5750
